OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
25,25,"(466103.26910000015, 3706858.0398999993)",CapitanPeakCSA-229,466103.26910000015,3706858.0398999993,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SanAndres,6194.0,SanAndres
26,26,"(442308.87519999966, 3703233.7464000005)",FortStantonCSD-519,442308.87519999966,3703233.7464000005,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,,SanAndres
27,27,"(448055.9648000002, 3704841.3323)",FortStantonCSE-2312,448055.9648000002,3704841.3323,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,4908.0,SanAndres
28,28,"(448645.30140000023, 3703759.0681999996)",FortStantonCSE-3544,448645.30140000023,3703759.0681999996,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,4816.0,SanAndres
29,29,"(447781.8761999998, 3705344.6714999992)",FortStantonCSE-1739,447781.8761999998,3705344.6714999992,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,4983.0,SanAndres
30,30,"(447105.1513, 3706587.4164000005)",FortStantonCSE-324,447105.1513,3706587.4164000005,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,4278.0,SanAndres
31,31,"(460105.3953999998, 3704309.2369999997)",LincolnCSA-4384,460105.3953999998,3704309.2369999997,meters,NAD83,Skotnicki2009_OFGM188,Sampled from interpretive cross-section,SanAndres,6105.0,SanAndres
32,32,"(456556.09609999973, 3706798.0364999995)",LincolnCSA-50,456556.09609999973,3706798.0364999995,meters,NAD83,Skotnicki2009_OFGM188,Sampled from interpretive cross-section,SanAndres,5715.0,SanAndres
33,33,"(459142.5826000003, 3704984.3696999997)",LincolnCSA-3209,459142.5826000003,3704984.3696999997,meters,NAD83,Skotnicki2009_OFGM188,Sampled from interpretive cross-section,SanAndres,6092.0,SanAndres
34,34,"(475277.7105999999, 3706129.5845999997)",SanPatricioCSB-741,475277.7105999999,3706129.5845999997,meters,NAD83,Skotnicki2009_OFGM189,Sampled from interpretive cross-section,SanAndres,5590.0,SanAndres
35,35,"(476339.8309000004, 3706402.8055000007)",SanPatricioCSB-1837,476339.8309000004,3706402.8055000007,meters,NAD83,Skotnicki2009_OFGM189,Sampled from interpretive cross-section,SanAndres,,SanAndres
36,36,"(476680.0351, 3706490.3199000005)",SanPatricioCSB-2189,476680.0351,3706490.3199000005,meters,NAD83,Skotnicki2009_OFGM189,Sampled from interpretive cross-section,SanAndres,5501.0,SanAndres
37,37,"(442384.93730000034, 3699336.4766000006)",FortStantonCSC-613,442384.93730000034,3699336.4766000006,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,4061.0,SanAndres
38,38,"(443729.24870000035, 3702293.5342999995)",FortStantonCSD-2222,443729.24870000035,3702293.5342999995,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,SanAndres,4110.0,SanAndres
